Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,
,,,,TABLE 1,TABLE 1,,,,,,,
TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,
"WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION",,
,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,
,,,,"VIRGINIA, 2008","VIRGINIA, 2008",,,,,,,
PLANNING DISTRICT,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,"RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
COMMONWEALTH OF VIRGINIA,"104,990","71,418","23,417","10,155","106,578","73,043","23,305","10,230",13.7,12.7,14.7,23.2
PLANNING DISTRICT 12,"1,791","1,130",610,51,"2,842","2,007",778,57,11.6,10.9,13.0,31.3
FRANKLIN COUNTY,267,220,36,11,595,534,49,12,11.6,11.5,10.2,35.8
HENRY COUNTY,1,1,,,593,450,121,22,10.7,10.7,9.5,45.0
PATRICK COUNTY,3,3,,,173,162,10,1,9.2,9.3,7.8,9.7
PITTSYLVANIA COUNTY,2,1,,1,622,490,123,9,10.2,10.5,8.6,32.7
DANVILLE CITY,954,545,396,13,636,261,367,8,14.2,11.1,17.8,15.7
MARTINSVILLE CITY,564,360,178,26,223,110,108,5,15.3,13.3,17.5,45.5
PLANNING DISTRICT 13,793,385,382,26,881,462,402,17,10.3,9.4,11.3,31.2
BRUNSWICK COUNTY,1,,1,,191,68,120,3,10.9,8.9,12.1,43.5
HALIFAX COUNTY,448,243,202,3,387,224,159,4,10.9,10.3,11.8,18.5
MECKLENBURG COUNTY,344,142,179,23,303,170,123,10,9.4,8.6,10.0,38.5
PLANNING DISTRICT 14,485,274,209,2,"1,144",732,397,15,11.3,11.1,11.4,22.4
AMELIA COUNTY,1,1,,,152,118,33,1,11.9,12.1,10.9,16.4
BUCKINGHAM COUNTY,1,1,,,184,122,61,1,11.5,12.2,10.3,13.7
CHARLOTTE COUNTY,11,11,,,170,122,47,1,13.9,14.6,12.2,24.4
CUMBERLAND COUNTY,,,,,103,68,34,1,10.7,10.9,10.2,11.6
LUNENBURG COUNTY,,,,,128,77,44,7,9.9,9.6,9.2,85.4
NOTTOWAY COUNTY,,,,,192,112,79,1,12.1,11.9,12.3,11.0
PRINCE EDWARD COUNTY,472,261,209,2,215,113,99,3,9.9,8.1,13.0,12.7
PLANNING DISTRICT 15,"15,004","9,441","4,751",812,"12,760","7,942","4,048",770,13.1,12.2,14.3,21.1
CHARLES CITY COUNTY,1,1,,,76,35,37,4,10.5,10.8,10.9,7.0
CHESTERFIELD COUNTY,"3,574","2,592",777,205,"3,725","2,760",760,205,12.3,12.3,11.1,18.3
GOOCHLAND COUNTY,4,3,1,,209,169,39,1,10.0,10.4,8.8,3.3
HANOVER COUNTY,"1,890","1,220",621,49,"1,032",916,89,27,10.3,10.4,8.7,15.9
HENRICO COUNTY,"6,050","3,952","1,610",488,"3,991","2,302","1,237",452,13.6,12.0,14.8,26.5
NEW KENT COUNTY,,,,,156,136,18,2,8.8,9.2,6.6,6.1
POWHATAN COUNTY,3,3,,,265,241,20,4,9.5,10.2,4.7,29.0
RICHMOND CITY,"3,482","1,670","1,742",70,"3,306","1,383","1,848",75,16.4,15.4,17.2,14.3
PLANNING DISTRICT 16,"3,929","2,990",600,339,"4,499","3,332",787,380,14.3,13.5,13.4,38.7
CAROLINE COUNTY,2,2,,,389,289,93,7,14.1,15.1,11.5,16.1
KING GEORGE COUNTY,1,1,,,373,303,58,12,16.1,16.7,12.9,25.1
SPOTSYLVANIA COUNTY,7,7,,,"1,673","1,261",246,166,13.9,13.0,12.6,47.1
STAFFORD COUNTY,23,17,3,3,"1,693","1,253",291,149,13.9,13.2,13.3,31.6
FREDERICKSBURG CITY,"3,896","2,963",597,336,371,226,99,46,16.3,13.0,20.9,68.8
PLANNING DISTRICT 17,8,3,4,1,459,263,189,7,9.0,7.3,12.9,19.8
LANCASTER COUNTY,8,3,4,1,95,47,48,,8.3,5.7,15.4,
NORTHUMBERLAND COUNTY,,,,,101,54,46,1,7.8,5.6,14.3,17.5
RICHMOND COUNTY,,,,,69,51,18,,7.5,8.5,5.8,
WESTMORELAND COUNTY,,,,,194,111,77,6,11.1,9.1,14.9,38.0
PLANNING DISTRICT 18,13,10,2,1,956,757,178,21,10.4,10.2,10.8,16.5
ESSEX COUNTY,5,2,2,1,150,69,79,2,13.5,10.5,18.3,11.0
GLOUCESTER COUNTY,3,3,,,374,344,20,10,9.7,10.1,5.0,17.1
KING AND QUEEN COUNTY,1,1,,,66,46,19,1,9.7,10.2,8.6,8.6
KING WILLIAM COUNTY,3,3,,,207,160,42,5,12.9,12.7,13.6,16.6
MATHEWS COUNTY,1,1,,,72,66,5,1,8.0,8.2,5.2,19.2
MIDDLESEX COUNTY,,,,,87,72,13,2,8.2,8.4,6.5,51.3
PLANNING DISTRICT 19,"1,372",566,769,37,"2,268","1,090","1,109",69,13.1,12.1,13.9,23.9
DINWIDDIE COUNTY,2,1,,1,268,177,85,6,10.3,10.2,10.0,26.8
GREENSVILLE COUNTY,,,,,156,47,104,5,13.0,10.1,14.4,67.6
PRINCE GEORGE COUNTY,,,,,369,232,117,20,10.2,10.5,9.1,18.5
SURRY COUNTY,1,1,,,73,44,29,,10.2,11.8,8.6,
SUSSEX COUNTY,1,,1,,116,51,64,1,9.5,10.3,9.0,17.2
COLONIAL HEIGHTS CITY,,,,,242,171,61,10,13.6,11.4,27.4,18.5
EMPORIA CITY,,,,,59,13,45,1,10.5,5.6,13.7,22.7
HOPEWELL CITY,,,,,382,197,177,8,16.5,14.5,19.4,21.3
PETERSBURG CITY,"1,368",564,768,36,603,158,427,18,18.3,23.8,16.5,40.2
PLANNING DISTRICT 20,"17,678","9,710","6,617","1,351","16,688","9,210","6,187","1,291",14.7,13.0,16.5,25.1
ISLE OF WIGHT COUNTY,2,2,,,384,250,116,18,10.8,9.6,12.8,45.6
SOUTHAMPTON COUNTY,1,1,,,205,107,97,1,11.1,9.8,12.9,12.8
CHESAPEAKE CITY,"2,656","1,493","1,045",118,"2,892","1,778",953,161,13.1,12.2,14.1,23.1
FRANKLIN CITY,282,91,184,7,133,49,79,5,15.0,12.2,16.6,52.1
NORFOLK CITY,"6,681","3,179","2,943",559,"4,088","1,715","2,047",326,17.5,14.7,19.1,32.3
PORTSMOUTH CITY,"4,861","2,893","1,554",414,"1,555",596,903,56,15.5,13.3,16.7,32.9
